question_id,question_text,reasoning_path,gold_answer,difficulty,domain,question_type
2-HOP_TEAM_COUNTRY_042,Mahmut Yilmaz'ın oynadığı takımın ülkesi neresidir?,Mahmut Yilmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_043,ahmet aras'ın oynadığı takımın ülkesi neresidir?,ahmet aras -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_044,Canberk Dilaver'ın oynadığı takımın ülkesi neresidir?,Canberk Dilaver -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_045,Huseyin Tok'ın oynadığı takımın ülkesi neresidir?,Huseyin Tok -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_046,huseyin yogurtcu'ın oynadığı takımın ülkesi neresidir?,huseyin yogurtcu -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_047,yilmaz ozlem'ın oynadığı takımın ülkesi neresidir?,yilmaz ozlem -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_048,metin aslan'ın oynadığı takımın ülkesi neresidir?,metin aslan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_049,Kemal Okyay'ın oynadığı takımın ülkesi neresidir?,Kemal Okyay -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_050,Vedat İnceefe'ın oynadığı takımın ülkesi neresidir?,Vedat İnceefe -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_051,burak yilmaz'ın oynadığı takımın ülkesi neresidir?,burak yilmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_052,Murat Erdoğan'ın oynadığı takımın ülkesi neresidir?,Murat Erdoğan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_053,Mustafa Asan'ın oynadığı takımın ülkesi neresidir?,Mustafa Asan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_054,okan koc'ın oynadığı takımın ülkesi neresidir?,okan koc -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_055,volkan babacan'ın oynadığı takımın ülkesi neresidir?,volkan babacan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_056,sanver goymen'ın oynadığı takımın ülkesi neresidir?,sanver goymen -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_057,serkan ozsoy'ın oynadığı takımın ülkesi neresidir?,serkan ozsoy -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_058,Ufukhan Bayraktar'ın oynadığı takımın ülkesi neresidir?,Ufukhan Bayraktar -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_059,murat gürbüzerol'ın oynadığı takımın ülkesi neresidir?,murat gürbüzerol -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_060,Cagdas Atan'ın oynadığı takımın ülkesi neresidir?,Cagdas Atan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_061,Mehmet Nas'ın oynadığı takımın ülkesi neresidir?,Mehmet Nas -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_062,Hasan Ali Durtuluk'ın oynadığı takımın ülkesi neresidir?,Hasan Ali Durtuluk -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_063,Ersan Gueluem'ın oynadığı takımın ülkesi neresidir?,Ersan Gueluem -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_064,ömer aysan barış'ın oynadığı takımın ülkesi neresidir?,ömer aysan barış -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_065,hakan kadir balta'ın oynadığı takımın ülkesi neresidir?,hakan kadir balta -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_066,Nizamettin Caliskan'ın oynadığı takımın ülkesi neresidir?,Nizamettin Caliskan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_067,Abdulkadir Özgen'ın oynadığı takımın ülkesi neresidir?,Abdulkadir Özgen -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_068,Muhammed Akaguenduez'ın oynadığı takımın ülkesi neresidir?,Muhammed Akaguenduez -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_069,Koray Avci'ın oynadığı takımın ülkesi neresidir?,Koray Avci -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_070,murat tosun'ın oynadığı takımın ülkesi neresidir?,murat tosun -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_071,Celaleddin Koçak'ın oynadığı takımın ülkesi neresidir?,Celaleddin Koçak -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_072,Mustafa Kocabey'ın oynadığı takımın ülkesi neresidir?,Mustafa Kocabey -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_073,İlker Avcıbay'ın oynadığı takımın ülkesi neresidir?,İlker Avcıbay -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_074,Tayfun Cora'ın oynadığı takımın ülkesi neresidir?,Tayfun Cora -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_075,adem buyuk'ın oynadığı takımın ülkesi neresidir?,adem buyuk -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_076,Naci Şensoy'ın oynadığı takımın ülkesi neresidir?,Naci Şensoy -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_077,ahmet i̇lhan ozek'ın oynadığı takımın ülkesi neresidir?,ahmet i̇lhan ozek -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_078,mustafa sarp'ın oynadığı takımın ülkesi neresidir?,mustafa sarp -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_079,Recep Biler'ın oynadığı takımın ülkesi neresidir?,Recep Biler -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_080,sezer badur'ın oynadığı takımın ülkesi neresidir?,sezer badur -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_081,turan arda'ın oynadığı takımın ülkesi neresidir?,turan arda -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_082,birol aksancak'ın oynadığı takımın ülkesi neresidir?,birol aksancak -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_083,Bulent Ataman'ın oynadığı takımın ülkesi neresidir?,Bulent Ataman -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_084,Coskun Birdal'ın oynadığı takımın ülkesi neresidir?,Coskun Birdal -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_085,Yiğit İsmail Gökoğlan'ın oynadığı takımın ülkesi neresidir?,Yiğit İsmail Gökoğlan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_086,yigit incedemir'ın oynadığı takımın ülkesi neresidir?,yigit incedemir -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_087,bülent ertuğrul'ın oynadığı takımın ülkesi neresidir?,bülent ertuğrul -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_088,Erman Güraçar'ın oynadığı takımın ülkesi neresidir?,Erman Güraçar -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_089,fatih egedik'ın oynadığı takımın ülkesi neresidir?,fatih egedik -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_090,sinan ozkan'ın oynadığı takımın ülkesi neresidir?,sinan ozkan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_091,Savas Yilmaz'ın oynadığı takımın ülkesi neresidir?,Savas Yilmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_092,Gurkan Ekren'ın oynadığı takımın ülkesi neresidir?,Gurkan Ekren -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_093,sezer öztürk'ın oynadığı takımın ülkesi neresidir?,sezer öztürk -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_094,Hasan Ahmet Sari'ın oynadığı takımın ülkesi neresidir?,Hasan Ahmet Sari -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_095,Metin Akan'ın oynadığı takımın ülkesi neresidir?,Metin Akan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_096,Anil Karaer'ın oynadığı takımın ülkesi neresidir?,Anil Karaer -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_097,Bulut Basmaz'ın oynadığı takımın ülkesi neresidir?,Bulut Basmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_098,burak ozsarac'ın oynadığı takımın ülkesi neresidir?,burak ozsarac -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_099,Bülent Cevahir'ın oynadığı takımın ülkesi neresidir?,Bülent Cevahir -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_100,gürol gündüz azer'ın oynadığı takımın ülkesi neresidir?,gürol gündüz azer -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_101,ömer közen'ın oynadığı takımın ülkesi neresidir?,ömer közen -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_102,cem sultan (footballer)'ın oynadığı takımın ülkesi neresidir?,cem sultan (footballer) -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_103,mertan caner ozturk'ın oynadığı takımın ülkesi neresidir?,mertan caner ozturk -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_104,Ferhat Coekmues'ın oynadığı takımın ülkesi neresidir?,Ferhat Coekmues -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_105,murat karakoc'ın oynadığı takımın ülkesi neresidir?,murat karakoc -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_106,Oktay Kuday'ın oynadığı takımın ülkesi neresidir?,Oktay Kuday -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_107,Ugur Inceman'ın oynadığı takımın ülkesi neresidir?,Ugur Inceman -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_108,yalçin ayhan'ın oynadığı takımın ülkesi neresidir?,yalçin ayhan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_109,Oguz Sabankay'ın oynadığı takımın ülkesi neresidir?,Oguz Sabankay -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_110,Aydin Yilmaz'ın oynadığı takımın ülkesi neresidir?,Aydin Yilmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_111,bahattin köse'ın oynadığı takımın ülkesi neresidir?,bahattin köse -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_112,zafer şakar'ın oynadığı takımın ülkesi neresidir?,zafer şakar -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_113,Barbaros Barut'ın oynadığı takımın ülkesi neresidir?,Barbaros Barut -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_114,ümit bozkurt'ın oynadığı takımın ülkesi neresidir?,ümit bozkurt -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_115,İsmail Köse'ın oynadığı takımın ülkesi neresidir?,İsmail Köse -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_116,izzet kaya'ın oynadığı takımın ülkesi neresidir?,izzet kaya -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_117,Bayram Olgun'ın oynadığı takımın ülkesi neresidir?,Bayram Olgun -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_118,bekir yilmaz'ın oynadığı takımın ülkesi neresidir?,bekir yilmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_119,benjamin fuchs'ın oynadığı takımın ülkesi neresidir?,benjamin fuchs -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_120,ersen martin'ın oynadığı takımın ülkesi neresidir?,ersen martin -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_121,Dilaver Güçlü'ın oynadığı takımın ülkesi neresidir?,Dilaver Güçlü -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_122,berk neziroğluları'ın oynadığı takımın ülkesi neresidir?,berk neziroğluları -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_123,cenk isler'ın oynadığı takımın ülkesi neresidir?,cenk isler -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_124,sercan bilinç güvenışık'ın oynadığı takımın ülkesi neresidir?,sercan bilinç güvenışık -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_125,Mehmet Guven'ın oynadığı takımın ülkesi neresidir?,Mehmet Guven -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_126,Orkun Uşak'ın oynadığı takımın ülkesi neresidir?,Orkun Uşak -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_127,Selcuk inan'ın oynadığı takımın ülkesi neresidir?,Selcuk inan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_128,Erkin Caner'ın oynadığı takımın ülkesi neresidir?,Erkin Caner -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_129,Ufuk Ceylan'ın oynadığı takımın ülkesi neresidir?,Ufuk Ceylan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_130,Ferhat Öztorun'ın oynadığı takımın ülkesi neresidir?,Ferhat Öztorun -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_131,erdi oner'ın oynadığı takımın ülkesi neresidir?,erdi oner -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_132,Gökay İravul'ın oynadığı takımın ülkesi neresidir?,Gökay İravul -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
