entity_id,name,description,matched_relation
Q824423,soner uysal,"Soner Uysal (born 24 August 1977) is a Turkish football coach and a former player.He had to retire at just 24 years of age due to chronic knee injury. In March 2018, he became assistant coach at Hamburger SV. He also holds German citizenship.",country of citizenship
Q1786335,1959–60 Turkish National League,"The 1959–60 Turkish National League was the second season of professional football in Turkey. The league consisted of 20 clubs, with Beşiktaş J.K. winning their third championship.",country
Q3162922,Tugay Kaçar,Tugay Kaçar (born 1 January 1994) is a Turkish footballer who plays as a midfielder for Gazişehir Gaziantep on loan from Turkish Süper Lig club Osmanlıspor. Tugay is a youth international for Turkey.,country of citizenship
Q793319,aytaç sulu,"Aytaç Sulu (born 11 December 1985 in Heidelberg, Germany) is a Turkish-German football defender currently playing for Samsunspor in the Turkish TFF Second League.",country of citizenship
Q187256,zeki ayvaz,"Zeki Ayvaz (born October 1, 1989 in Trabzon, Turkey) is a Turkish football goalkeeper who currently plays for Ankara Demirspor.",country of citizenship
Q1339593,Emre Turan,Emre Turan (born 16 November 1990 in Berlin) is a Turkish footballer.,country of citizenship
Q823959,"selçuk şahin (footballer, born 1983)","Selçuk Şahin (born 26 March 1983 in Munich, Germany) is a Turkish footballer, who currently plays for Gümüşhanespor as a left back.",country of citizenship
Q22003375,Muhammet Besir,"Muhammet Beşir (born 1 January 1997) is a Turkish professional football player who plays for Samsunspor in the TFF First League, on loan from Trabzonspor.",country of citizenship
Q1414112,Filiz Koç,"Filiz Koç (born October 6, 1986), aka Filiz Heilmann or Filiz Heilmann Koç, is a Turkish-German women's football midfielder, currently playing in the Turkish Women's First League for 1207 Antalya Muratpaşa Belediye Spor with jersey number 13. She is a member of the Turkey women's team. She also has a media career as model, beauty pageant contestant, actress and sideline reporter.",country of citizenship
Q5678101,Hasan Ahmet Sari,Hasan Ahmet Sarı (born 21 January 1992) is a Turkish footballer who plays as a forward for Ankara Demirspor in the TFF Second League. He formerly played for the Turkey under-19s.,country of citizenship
Q298448,gokhan inler,"Gökhan İnler (born 27 June 1984) is a Swiss professional footballer who plays as a central midfielder for Turkish club İstanbul Başakşehir.İnler began his professional career with FC Basel and later joined FC Aarau and FC Zürich, winning the Swiss Super League in both of his seasons with the latter. After four seasons with Udinese in the Italian Serie A, he joined Napoli in 2011, where he twice won the Coppa Italia.İnler played under-21 football for both Switzerland and Turkey. He made his debut for the Switzerland senior team in 2006 and has since earned 89 caps, scoring seven goals, making him the nation's fifth-most capped player of all time. He represented the squad at UEFA Euro 2008 and two FIFA World Cups, captaining the Swiss in Brazil in 2014.",country of citizenship
Q1953531,murat ceylan,Murat Ceylan (born 2 March 1988) is a Turkish footballer who currently plays as a defensive midfielder for Elazığspor.,country of citizenship
Q453996,veysel cihan,"Veysel Cihan (born 4 February 1976) is a retired Turkish professional football player who played as a striker.He played for the Turkey A2 national football team four times, scoring zero goals.",country of citizenship
Q2043178,oguzhan azgar,Oğuzhan Azğar (born 14 July 1993) is a Turkish footballer who plays as a centre-back for Ankara Adliyespor. He made his Süper Lig debut for Samsunspor against Galatasaray on 7 January 2012.,country of citizenship
Q2661398,kayseri arena,"Kadir Has Sport Hall (Turkish: Kadir Has Spor Salonu) is an indoor sporting arena that is located in Kayseri, Turkey. Together with Kayseri Kadir Has Stadium, it is a part of the Kayseri Kadir Has Sports Complex, one of the newest sports complexes in Turkey. Completed in 2008, the capacity of the arena is 7,200 spectators.",country
Q424750,Akin Vardar,Akin Vardar (born 2 April 1978) is a Turkish professional retired footballer. He played as a goalkeeper.,country of citizenship
Q551622,atilla yıldırım,Atilla Yıldırım (born 22 November 1990) is a Dutch professional footballer who plays for MVV Maastricht as a striker.,country of citizenship
Q5389646,Erkan Veyseloğlu,Erkan Veyseloğlu (born 13 March 1983) is a Turkish professional basketball player for Darüşşafaka of the Turkish Basketball Super League. He plays the small forward position.,country of citizenship
Q16842542,kdz. ereğlispor,Kdz. Ereğli Belediye Spor is the women's football side of Karadeniz Ereğli Belediye Spor Kulübü based in Karadeniz Ereğli district of Zonguldak Province in Turkey. The team play in the Turkish Women's First Football League.,country
Q317678,Abdullah Karmil,Abdullah Karmil (born 22 January 1988) is a Turkish footballer who plays as a defender for Sarıyer. He made his Süper Lig debut on 23 February 2013.,country of citizenship
Q719346,Hasan Kabze,"Hasan Salih Kabze (born 26 May 1982) is a Turkish international footballer who plays as a striker for Altınordu. Formerly, he played for Bucaspor, Çanakkale Dardanelspor, Galatasaray SK, Rubin Kazan, Montpellier HSC and Orduspor.He studied at Anadolu University.",country of citizenship
Q1518594,1992-93 1.lig,The 1992-93 Turkish First Football League season had 16 teams in competition. Galatasaray S.K. won the championship.,country
Q2459752,Tunay Açar,"Tunay Açar (born 30 April 1989) is a Turkish footballer who plays as a full-back, most recently for Pendikspor.",country of citizenship
Q5389872,Erman Güraçar,Erman Güraçar (born 24 August 1974) is a former Turkish footballer and currently the manager of Ayvalıkgücü Belediyespor.,country of citizenship
Q17512831,New Eskisehir Stadium,"Eskişehir Yeni Atatürk Stadyumu is a stadium Eskişehir, Turkey. It opened to the public in late October 2016 and has a capacity of 32,507 spectators.  It is the home ground of Eskişehirspor. It replaced the club's former home, Eskişehir Atatürk Stadium.",country
Q710110,mehmet oktav,"Mehmet Oktav (1917 in Istanbul, Turkey – 1996)  was a Turkish sports wrestler, who became Olympic gold medalist for Turkey in the Featherweight class of Men's Greco-Roman Wrestling in 1948.He began his sports career as a football player in 1942, switched over, however,  to wrestling afterwards. He won the gold medal in the 1948 Olympics in 62 kg class as the second Turkish wrestler after Yaşar Erkan. Before retiring in 1953, he competed 13 times in the national team. Mehmet Oktav served then in some sports clubs and in the national team 17 years long as a trainer.",country of citizenship
Q7855349,Turkish football clubs in European competitions 1990-99,,country
Q426881,mustafa sarp,"Mustafa Sarp (born November 5, 1980 in Bakırköy, Istanbul, Turkey) is a Turkish footballer who last played for Manisaspor as a midfielder.",country of citizenship
Q1354966,Erkam Reşmen,"Erkam Reşmen (born 8 January 1996 in Antalya, Turkey) is a Turkish football player who plays as defender for Samsunspor. He plays mostly as a right-back, and occasionally as a centerback.Reşmen represented the Turkey national under-19 football team in a 4-3 friendly loss to Sweden U19 in 2007.",country of citizenship
Q6386829,Nejad Kemal Kavur,"Nejad Kemal Kavur (1907 in Istanbul – 1975 in Istanbul) was a Turkish diplomat.Kemal Kavur was educated at the Lycee Galatasay, where he also excelled as a football player, and studied at Faculty Political Science (Mulkiye) in Ankara.  He did his post-graduate degree at University of Berlin, specialisizing in public international law. He then joined the Ministry of Foreign Affairs of Kemal Ataturk's newly formed Turkish Republic, quickly rising within it, serving as Chargé d'affaires at the Berlin embassy to Adolf Hitler's Germany. After the war, Kavur was appointed ambassador to Finland in Helsinki, and that is where his son Celal was born in 1949. Kavur then served as ambassador in Sofia, Bulgaria, followed by five years in Moscow—a challenging ambassadorial posting, under Nikita Khrushchev at the height of the Cold War (1955–60). Kavur then became ambassador to Japan (1960–62), and to the United Kingdom (1962–64). He finally retired after serving as ambassador (1964–69) in Bern, Switzerland.Kemal Kavur was an ""old school"" diplomat, believing totally in savoir-faire and building bridges, while his guiding force was the love of his country and freedom and democracy. In this respect, Kavur's work as a diplomat was important to the NATO alliance, serving in Bulgaria and Soviet Union.",country of citizenship
Q5678310,Hasan Yigit,"Hasan Yiğit (born 2 January 1975 in Istanbul) is a retired Turkish football midfielder. During his career, Yiğit played for Gaziantepspor, Kocaelispor, Diyarbakırspor, Ankaraspor, Bursaspor, Denizlispor, Sakaryaspor, Çaykur Rizespor and Güngörenspor.",country of citizenship
Q1984073,Nesat Gülünoğlu,Neşat Gülünoğlu (born 4 January 1979) is a German-born Turkish former football forward.,country of citizenship
Q753135,atacan ozturk,"Atacan Öztürk (born 18 January 1982 in Antalya) is a Turkish professional football player, who currently plays as a goalkeeper for Silivrispor.",country of citizenship
Q7857311,Tuğçe İnöntepe,"Tuğçe İnöntepe (born February 15, 1987 in Istanbul, Turkey) is a Turkish female basketball player. The young national plays for Mersin Büyükşehir Belediyesi on loan from Fenerbahçe Istanbul with her team-mate Tuğçe Murat.She is 172 cm tall and plays as guard and forward. She also played 3 years for Migrosspor on loan.",country of citizenship
Q7005353,new antalya stadium,"The Antalya Stadyumu is a multi-purpose stadium in Turkey. It is used mostly for football matches, hosting Antalyaspor Super League home games. It has a capacity of nearly 32,537 (all seated) and is totally covered. The stadium has solar panels on its rooftop which generates, on average 7,200 kWh a day, enough to produce its total monthly electricity usage.",country
Q18589307,Esra Solmaz,"Esra Solmaz (born March 20, 1995) is a Turkish women's football striker  currently playing in the First League for Trabzon İdmanocağı with jersey number 99. In 2011, she played for the Turkish girls' national U-17 team.",country of citizenship
Q4565017,1941–42 Istanbul Football League,The 1941–42 İstanbul Football League season was the 34th season of the league. Beşiktaş JK won the league for the 6th time.,country
Q700319,taner ari,Taner Ari (born 29 May 1987) is an Austrian footballer of Turkish descent who plays for Batman Petrolspor as a defender.,country of citizenship
Q19610568,Asaf Beşpınar,"Asaf Beşpınar (Kadıköy, Istanbul – Istanbul) was a Turkish footballer and engineer. He was among the founding line-up of the Turkish football club Fenerbahçe. Beşpınar, being an alumnus of Saint Joseph's College in Istanbul, had close ties with other founding members of the club, who studied at the same school.",country of citizenship
Q6047937,nagehan aksan,"Nagehan Akşan (born February 22, 1988) is a Turkish women's football defender currently playing in the First League for Ataşehir Belediyespor with jersey number 61. She was a member of the Turkish national team.",country of citizenship
Q6038291,Melike Bakırcıoğlu,"Melike Bakırcıoğlu (born February 24, 1987 in İstanbul, Turkey) is a Turkish female basketball player. She plays for Fenerbahçe İstanbul as forward position. She is 190 cm tall and weighs 79 kg. She is playing for Beşiktaş Cola Turka and also played for Fenerbahçe İstanbul between 2005-2010 Turkey national women's basketball team.Bakırcıoğlu is the designated double teaming player on defense.",country of citizenship
Q1538428,1981-82 1.lig,The 1981-82 Turkish First Football League season saw 17 teams in competition. Beşiktaş J.K. won the championship.,country
Q23058914,muhammed çalhanoğlu,Muhammed Çalhanoğlu (born 19 April 1995) is a Turkish footballer who plays as a midfielder for Bayburt Grup Özel İdarespor in the TFF Second League.,country of citizenship
Q1953977,musa nizam,Musa Nizam (born 8 September 1990) is a Turkish footballer who plays as a defender for Akhisar Belediyespor.,country of citizenship
Q5031663,Candeğer Kılınçer,"Candeğer Kılınçer Oğuz, née Kılınçer, (born July 16, 1980) is a Turkish female high jumper.She studied at Dokuz Eylül University. The 1.77 m (5.8 ft) tall athlete at 59 kg (130 lb) is a member of Enkaspor. Her coach is Tayfun Aygün, who contributed to the establishment of a special school for high jump in 2005.In 2002, she transferred from Beşiktaş J.K. Athletics Team to Fenerbahçe Athletics, before she finally entered Enkaspor. Candeğer Kılınçer Oğuz broke the national record in 2004 with 1.93 m.She studied labor economics and industrial relations at the Dokuz Eylül University in Izmir. She is married to her former coach, Turkish-Cypriot sprinter Reşat Oğuz.",country of citizenship
Q27186771,osman çelik,"Osman Çelik (born 27 November 1991 in Antalya, Turkey) is a Turkish footballer who plays as a defensive midfielder for Karabükspor on loan from Antalyaspor.",country of citizenship
Q19957725,selçuk ernak,"Burak Selçuk Ernak (born August 25, 1970 in Istanbul, Turkey) is a Turkish former professional basketball player and current head coach of Darüşşafaka.",country of citizenship
Q16145548,kâmil altan,Kamil Altan (7 April 1924 – 25 February 2011) was a Turkish footballer. He competed in the men's tournament at the 1952 Summer Olympics.,country of citizenship
Q5372601,Emirhan Ergün,Emirhan Ergün (born 18 February 1990) is a Turkish professional football player. Ergün plays as a goalkeeper for Derincespor.,country of citizenship
Q6758336,"Emirali, Luleburgaz","Emirali is a village in Kırklareli-Lüleburgaz, Turkey.The history of Emirali is shrouded in mystery, but it is known that in 1877–1878, during the Ottoman-Russian War, immigrants came to the area from Romania, Bulgaria, and Greece to the area of Thrace. Before the village was formally established, the area saw a great deal of conflict related to the war. Ethnic Albanian and Gagauz people are recorded as having defended the town.Farming and agriculture are the main industries in Emirali. Some work in the fabric industry in nearby cities. Traditional Thracian culture continues in Emirali. The village has a primary school, a water system, and hosts a local soccer team. Twice a day there is bus service to Istanbul.The village is northeast of Lüleburgaz, and covers an area of about 20000 hectares. Kırklareli is 78 km distant; Lüleburgaz, 17 km, Ahmetbey 3 km, and Sakızköy 7 km.In winter, the climate is cold and rainy. Summers are generally hot.",country
Q15402153,Metin Sevinc,Metin Sevinç (born 14 June 1994) is a Turkish footballer who plays as an attacking midfielder for Fethiyespor. He made his Süper Lig debut on 2 November 2013.,country of citizenship
Q4790540,Arif Karaoğlan,"Arif Karaoğlan (born 21 January 1986) is a Turkish footballer who plays for SV Röchling Völklingen. Karaoğlan spent a few years in the youth setup at Nottingham Forest, before returning to Germany in 2005.",country of citizenship
Q2947963,aziz eraltay,"Aziz Eraltay Behich (Turkish: Aziz Behiç,  AZ-iz BAY-itch; born 16 December 1990) is an Australian professional footballer who plays as a left back and left winger for İstanbul Başakşehir.",country of citizenship
Q716673,Kemal Aslan,Kemal Aslan (born 24 October 1981) is a Turkish professional footballer who plays as a midfielder.,country of citizenship
Q1372805,Suat Kaya,"Suat Kaya (born 26 August 1967) is a Turkish former footballer who played as a defensive midfielder.His career was all but associated with Galatasaray, with which he won major titles including and the 2000 UEFA Cup. Over the course of 16 seasons, he amassed Süper Lig totals of 353 games and 44 goals.",country of citizenship
Q1720957,Kadir Keleş,Kadir Keleş (born 1 January 1988 in Trabzon) is a Turkish football midfielder. He currently plays for Akhisar Belediyespor.,country of citizenship
Q18165014,Ilkadim Belediyesi Yabancilar Pazari Spor,"İlkadım Belediyesi Yabancılar Pazarı Spor is a women's football team based in İlkadım district of Samsun, Turkey. The club is chaired by Sezai Onaran, and its manager is Arif İmamoğlu.",country
Q5762011,hill 10 commonwealth war graves commission cemetery,"Hill 10 Cemetery is a Commonwealth War Graves Commission Cemetery in the former Suvla Bay sector of the Gallipoli Peninsula, Turkey.  The battles at Gallipoli, some of whose participating soldiers are buried at this cemetery, was an eight-month campaign fought by Commonwealth and French forces against Turkish forces in an attempt to force Turkey out of the war, to relieve the deadlock of the Western Front (France/Belgium) and to open a supply route to Russia through the Dardanelles and the Black Sea.  The main landings were in April 1915, but failure to make any progress led to a further landing at Suvla Bay to the North of the existing Allied positions on 6 August. However indecision and confusion led delays allowing the Turkish defenders to reinforce their positions, resulting in a stalemate.Hill 10 was a small hill North of the Suvla Bay salt lake and was captured by 9th Lancashire Fusiliers and the 11th Manchesters the following morning. Originally a burial site containing just 3 graves from November 1915, the cemetery was greatly enlarged after the Armistice, when graves consolidated  from six smaller cemeteries - the 88th Dressing Station, 89th Dressing Station, Kangaroo Beach, 'B' Beach, 26th Casualty Clearing Station and Park Lane cemeteries. 150 of the graves are unidentified, but there are memorials to the 55 British soldiers and sailors and the single Royal Australian Navy Bridging Train member known to be amongst them.",country
Q12808351,akhisar şehir stadium,"Akhisar Şehir Stadium is the stadium used by Akhisar Belediyespor. The stadium has a capacity of 5,000 seats. Since 1970 it was the stadium of Akhisarspor, but the stadium finally closed in 2012.",country
Q5844,aslı çakir,"Aslı Çakır Alptekin (born 20 August 1985 in Antalya)  is a former Turkish female middle-distance runner. A member of the Üsküdar Belediyespor in Istanbul, she is coached by her husband, runner Ihsan Alptekin. She is 168 cm (5.51 ft) tall and 50 kg (110 lb).",country of citizenship
Q748445,Eskisehirspor,Eskişehirspor is a Turkish football club located in Eskişehir. The club was founded in 1965. Eskişehirspor started a long term stay in the first league in Turkey when they were founded. This term lasted 16 years until they were relegated. After being out of the Süper Lig for 12 years the club won the TFF First League playoffs and were promoted in May 2008.,country
Q6092821,ali sasal vural,"Ali Şaşal Vural (born 10 July 1990), is a Turkish professional football player, who plays for Sivasspor.",country of citizenship
Q1535701,izmit ismetpasa stadium,"İzmit İsmetpaşa Stadium (Turkish: İzmit İsmetpaşa Stadyumu) is a multi-purpose stadium at Derince district of İzmit in Kocaeli Province, Turkey. It is named after the Turkish general and statesman İsmet İnönü (1884–1973), widely known as İsmet Pasha.Built in 1972, it is situated on the Istanbul-İzmit highway  D.100. The stadium holds 15,462 spectators. It is used mostly for football matches and hosts the home matches of Kocaelispor.",country
Q462705,Ali Bayramoğlu,"Ali Bayramoğlu (born 1956), is a Turkish writer and political commentator. He was a columnist in the Turkish daily newspaper Yeni Safak, writing from a liberal pro-Islamic viewpoint.  He has campaigned against ultra-nationalism, militarism and restrictions on Islamic political parties in Turkey, and in favour of greater recognition of, and accommodation with, the Kurdish population of Turkey, and a break with what he sees as Ottomanist tendencies which prevent Turkey from moving forward on issues such as the Armenian genocide. He has also warned against the possible rise of left-wing political violence in Turkey.",country of citizenship
Q1925639,metin depe,"Metin Depe (born November 10, 1981 in Samsun) is a former Turkish football defender.",country of citizenship
Q17046219,okan kocuk,Okan Kocuk (born 27 July 1995) is a Turkish professional footballer who plays as a goalkeeper for the Turkish club Galatasaray.,country of citizenship
Q6100927,Seyit Cem Ünsal,Seyit Cem Ünsal (born 9 October 1975) is a Turkish professional footballer who plays as a forward. He was the first Turkish player in South Korea.,country of citizenship
Q1559274,gökhan öztürk,Gökhan Öztürk (born 22 March 1990) is a Turkish professional footballer who currently plays as a midfielder for Tepecikspor. He was also a youth international.,country of citizenship
Q2399758,cagri kodalak,Çağrı Kodalak (born 12 January 1991) is a Dutch-born Turkish football player who most recently played for Rijnsburgse Boys in the Tweede Divisie.,country of citizenship
Q5511809,Firat Akkoyun,"Fırat Akkoyun (born January 1, 1982) is a Turkish retired footballer. He played as a fullback.",country of citizenship
Q6937441,murat öztürk,Murat Öztürk (born 5 December 1969 in Sivas) is a Turkish football coach and former goalkeeper. He started his professional football career with Gençlerbirliği. He is currently the Goalkeeper Coach of Fenerbahçe S.K..He earned a goalkeeper coaching licence in 2003. He has been working for Fenerbahçe S.K. since 2004.,country of citizenship
Q1076448,turkish football league system,"The Turkish football system is divided into the following leagues.Promotion and relegation can occur through every league. This means a club in the Turkish Regional Amateur League may be promoted to the top flight Süper Lig. There are two stages to being promoted to the Turkish Third League. First, provinces who do not have professional clubs send a club or clubs to play. These provinces are:2 clubs — Düzce, Edirne, Kırklareli, Nevşehir1 club — Ağrı, Amasya, Ardahan, Bartın, Bayburt, Bingöl, Bitlis, Hakkari, Muş, Niğde, Sinop, TunceliThe two clubs who finished first and second gain promotion. In the second stage, the rest of the amateur clubs join in and play against each other. These provinces are:12 clubs each from Istanbul6 clubs each from Izmir5 clubs each from Ankara, Balıkesir, Bursa, Kocaeli, Manisa4 clubs each from Aydın, Kütahya, Sakarya3 clubs each from Adana, Afyon, Antalya, Denizli, Eskişehir, Hatay, Kayseri, Konya, Mersin, Tekirdağ, Trabzon, Zonguldak2 clubs each from Bilecik, Çanakkale, Diyarbakır, Elazığ, Erzurum, Giresun, Isparta, Kahramanmaraş, Malatya, Muğla, Ordu, Rize, Samsun, Sivas, Şanlıurfa, Uşak, Van, Yalova1 club each from Adıyaman, Aksaray, Artvin, Batman, Bolu, Burdur, Çankırı, Çorum, Erzincan, Gümüşhane, Iğdır, Karabük, Karaman, Kars, Kastamonu, Kırıkkale, Kırşehir, Kilis, Mardin, Osmaniye, Siirt, Şırnak, Tokat, YozgatThe club who finishes first gains promotion to the Turkish TFF Third League.",country
Q6059279,Sadik Çiftpinar,Sadık Çiftpinar (born 1 January 1993) is a Turkish football player who as a defender for Fenerbahçe in the Süper Lig.,country of citizenship
Q3609929,alessandro chiappini,Alessandro Chiappini (born (1969-01-31)31 January 1969) is a retired Italian volleyball coach. He was the coach of the Turkey women's national volleyball team. The team participated at the 2007 Women's European Volleyball Championship and won the silver medal at the 2009 Mediterranean Games.,country of citizenship
Q2705560,Bülent Akın,Bülent Akın (born 28 August 1978) is a Belgian-born Turkish former footballer.,country of citizenship
Q776593,Onur Ayık,Onur Ayık (born 28 January 1990) is a Turkish professional footballer who plays as a winger for Süper Lig side Akhisar Belediyespor.,country of citizenship
Q577979,jabá,"Silvino João de Carvalho (born May 20, 1981) commonly known as Jabá, is a Brazilian football player who currently plays for Somaspor.",country of citizenship
Q1588116,Hasan Erbey,"Hasan Erbey (born 21 September 1991, in İzmir, Turkey) is a Turkish footballer. He currently plays as a center fullback for Tepecikspor.Erbey began his professional football career in 2005 with Karşıyaka S.K. in İzmir, and later joined Fenerbahçe in 2006. He wears the number 35 shirt, after İzmir's traffic code.On 23 August 2012, he joined Giresunspor on loan for their 2012-13 campaign.",country of citizenship
Q454410,murat duruer,"Murat Duruer (born 15 January 1988) is a Turkish professional footballer who most recently played for Turkish TFF First League club İstanbulspor. He plays as a left winger.Murat Duruer earned his first cap for Turkey on 5 March 2014, in a friendly match against Sweden.",country of citizenship
Q8080277,izzet kaya,İzzet Kaya (born 28 January 1977) is a Turkish professional footballer. He currently plays as a right fullback for Şanlıurfaspor in the TFF First League.,country of citizenship
Q445496,hakan aslantaş,"Hakan Aslantaş (born 26 August 1985 in Nürtingen, Germany) is a Turkish footballer. He currently plays as a defender for Eskişehirspor in the Spor Toto Süper Lig.",country of citizenship
Q4696210,Ahmet Öcal,"Ahmet Öcal (born 17 December 1979 in Maaseik) is a Belgian football player. In the past he played for K. Patro Eisden Maasmechelen (1999–2003), Diyarbakırspor (2003–2005), Altay S.K. (2005) and K.V.S.K. United Overpelt-Lommel (2005–2008), before signing for RFC Liège during the summer transfer window of 2008 after his new club had just been promoted to second division.In October 2009, he returned to his first club, K. Patro Eisden Maasmechelen.He is the older brother of Abdülkerim Öcal.",country of citizenship
Q122159,Dilaver Satılmıs,Dilaver Satılmış (born 24 February 1979 in Basel) is a Turkish football player.Satılmış played youth football by FC Basel. He played for Trabzonspor and Diyarbakirspor in the Turkish Super Lig.,country of citizenship
Q1473521,1971-72 Turkish First Football League,Statistics of the Turkish First Football League in season 1971/1972.,country
Q666910,Hilmi Ok,Hilmi Ok (born 18 January 1932) is a retired Turkish football referee.,country of citizenship
Q4725334,ali öztürk (footballer born 1986),Ali Öztürk (born 28 July 1986) is a Turkish footballer who last played for Muratpaşa Belediyespor. He has previously played in the Turkish Süper Lig competition for Gençlerbirliği.He was top scorer in the 2004 UEFA Under 19 Championship.He was named in the 2005 FIFA World Youth Championship squad for Turkey.,country of citizenship
Q16735333,mevlude ozturk,"Mevlüde Öztürk (born December 5, 1988) is a Turkish women's football midfielder currently playing in the Turkish Women's Second Football League for Fatih Vatan Spor in Istanbul with jersey number 8. She is member of the Turkey women's national team since 2006.",country of citizenship
Q553130,fatih keleş,"Fatih Keleş (born November 27, 1989 in Trabzon, Turkey) is a European champion Turkish amateur boxer competing in the lightweight division. He is a member of the Kocaeli BB Kağıt S.K. in Izmit. He is coached by Nazmi Dalkıran.",country of citizenship
Q388487,şanlıurfa s.k.,"Şanlıurfa S.K. is a sports club located in Şanlıurfa, Turkey. The football club plays in the TFF Second League.",country
Q4563148,1932-33 istanbul football league,The 1932–33 İstanbul Football League season was the 25th season of the league. Fenerbahçe SK won the league for the 6th time.,country
Q764149,cenk guvenc,"Cenk Güvenç (born December 29, 1991) is a Turkish footballer who most recently played for TFF First League club Afjet Afyonspor.",country of citizenship
Q1624749,Turkey U-21,"Turkey's national Under-21 football team (Turkish: Ümit Milli Futbol Takımı), also known as Turkey Under-21s or Turkey U-21s, is the Under-21 years of age team of the Turkey national football team.",country for sport
Q1388570,Ali Riza Sergen Yalcin,"Ali Rıza Sergen Yalçın (born October 5, 1972) is a Turkish football coach and former player. He is currently the head coach of Yeni Malatyaspor.Sergen has played for every one of Turkey's big four clubs, some of them twice, and had stints at a few others as well.",country of citizenship
Q5399292,esra erol,Esra Erol (born 6 November 1985) is a Turkish female  footballer currently playing in the Turkish First League in defender position for Beşiktaş J.K. with jersey number 32 in Istanbul. She was also a member of the Turkish national team.,country of citizenship
Q526631,bülent ertuğrul,"Bülent Ertuğrul (born September 17, 1978) is a Turkish football player who last played for Denizlispor in defender position. He played in Nazilli Belediyespor in 1999/2000 season.",country of citizenship
