subject_id,subject_name,relation_id,relation_name,object_id,object_name
Q6087704,"Ruzgarlar, Bolu",P17,country,Q43,turkiye
Q4116807,"Şirince, Selçuk",P17,country,Q43,turkiye
Q5378766,enhamed enhamed,P27,country of citizenship,Q43,turkiye
Q1816898,Göbek,P17,country,Q43,turkiye
Q6056340,suruç water tunnel,P17,country,Q43,turkiye
Q4824730,"Oguzlar, Ortakoy",P17,country,Q43,turkiye
Q8049920,"yassica, gercus",P17,country,Q43,turkiye
Q16850066,İşbank Museum,P17,country,Q43,turkiye
Q550752,Murat Yildirim (footballer),P27,country of citizenship,Q43,turkiye
Q4830962,"kurugöl, besni",P17,country,Q43,turkiye
Q2064336,saint paul's church (tarsus),P17,country,Q43,turkiye
Q272978,çinguş,P17,country,Q43,turkiye
Q1333501,Yigitcan Erdogan,P27,country of citizenship,Q43,turkiye
Q1328315,turkish handball super league,P17,country,Q43,turkiye
Q989254,"koçcağız, tufanbeyli",P17,country,Q43,turkiye
Q8001890,"corten, imamoglu",P17,country,Q43,turkiye
Q6087480,hakan fidan,P27,country of citizenship,Q43,turkiye
Q791567,bayrampaşa,P17,country,Q43,turkiye
Q131293,Mardin province,P17,country,Q43,turkiye
Q18921326,cihan amasyalı,P27,country of citizenship,Q43,turkiye
Q704167,Eski Kahta,P17,country,Q43,turkiye
Q5626757,"gözne, toroslar",P17,country,Q43,turkiye
Q21288716,Ataturk's Tenth Year Speech,P495,country of origin,Q43,turkiye
Q2220449,"birgi, i̇zmir",P17,country,Q43,turkiye
Q2118279,2012 tour of turkey,P17,country,Q43,turkiye
Q176190,adnan senses,P27,country of citizenship,Q43,turkiye
Q33,republic of finland,P530,diplomatic relation,Q43,turkiye
Q4702055,"akçaalan, finike",P17,country,Q43,turkiye
Q2559737,The White Castle,P495,country of origin,Q43,turkiye
Q4346527,eda okyay,P17,country,Q43,turkiye
Q743587,Divrigi,P17,country,Q43,turkiye
Q6393119,"Kepez, Akseki",P17,country,Q43,turkiye
Q6020385,Muharrem Varli,P27,country of citizenship,Q43,turkiye
Q18712839,cennetin kapisi,P495,country of origin,Q43,turkiye
Q16908994,Yunus Emre Yalcin,P27,country of citizenship,Q43,turkiye
Q6477616,lake saka nature reserve,P17,country,Q43,turkiye
Q16210625,Ekrem Boyali,P27,country of citizenship,Q43,turkiye
Q83965,Kocaeli Province,P17,country,Q43,turkiye
Q1351037,Turgutluspor,P17,country,Q43,turkiye
Q4628094,TRT 5 Anadolu,P17,country,Q43,turkiye
Q2391109,hassan saltik,P27,country of citizenship,Q43,turkiye
Q35367,Gulf of Nicomedia,P17,country,Q43,turkiye
Q6089142,Ziya Meral,P27,country of citizenship,Q43,turkiye
Q2060041,Inalids,P17,country,Q43,turkiye
Q6581570,"pamuklu, mut",P17,country,Q43,turkiye
Q371628,Super Lig 2003-04,P17,country,Q43,turkiye
Q1155224,"Koyunlu, İnhisar",P17,country,Q43,turkiye
Q6435468,"koçyatağı, şuhut",P17,country,Q43,turkiye
Q16875435,usta köy,P17,country,Q43,turkiye
Q4820940,"basirlar, ihsaniye",P17,country,Q43,turkiye
Q17432101,muhammed alperen uysal,P27,country of citizenship,Q43,turkiye
Q824423,soner uysal,P27,country of citizenship,Q43,turkiye
Q272720,çayönü tepesi,P17,country,Q43,turkiye
Q20855697,women's museum istanbul,P17,country,Q43,turkiye
Q4820154,"Boraboy, Amasya",P17,country,Q43,turkiye
Q686222,2011 Ankara Cup,P17,country,Q43,turkiye
Q6368591,"karapinar, alanya",P17,country,Q43,turkiye
Q3321624,mustafa can,P19,place of birth,Q43,turkiye
Q4820417,"Boyali, Sinanpasa",P17,country,Q43,turkiye
Q3543762,galatasaray a2,P17,country,Q43,turkiye
Q1786335,1959–60 Turkish National League,P17,country,Q43,turkiye
Q989249,"turunçlu, kozan",P17,country,Q43,turkiye
Q3696167,arifiye,P17,country,Q43,turkiye
Q988147,bulanık,P17,country,Q43,turkiye
Q17372871,Boyoz,P495,country of origin,Q43,turkiye
Q3162922,Tugay Kaçar,P27,country of citizenship,Q43,turkiye
Q2013299,Osak Yurtcu,P27,country of citizenship,Q43,turkiye
Q793319,aytaç sulu,P27,country of citizenship,Q43,turkiye
Q982264,"Heybetepe, Bayburt",P17,country,Q43,turkiye
Q180280,"ozal, turgut",P27,country of citizenship,Q43,turkiye
Q2291653,"Onurlu, Alaplı",P17,country,Q43,turkiye
Q8055913,Kalburabasti,P495,country of origin,Q43,turkiye
Q6947693,"Bektas, Giresun",P17,country,Q43,turkiye
Q7855315,turkish state opera and ballet,P17,country,Q43,turkiye
Q8080121,"İncek, Gölbaşı",P17,country,Q43,turkiye
Q724172,nuri bilge ceylan,P27,country of citizenship,Q43,turkiye
Q8002269,"dolbazlar, manavgat",P17,country,Q43,turkiye
Q5367987,"Elvanlar, Kurucasile",P17,country,Q43,turkiye
Q1613842,Heroon of Trysa,P17,country,Q43,turkiye
Q7835402,engerek thermal optics,P17,country,Q43,turkiye
Q12812106,Taşoluk Dam,P17,country,Q43,turkiye
Q1017752,"ezine, canakkale",P17,country,Q43,turkiye
Q6435458,"Kocaklar, Kozluk",P17,country,Q43,turkiye
Q4899840,beydag dam,P17,country,Q43,turkiye
Q1734375,karpuzlu,P17,country,Q43,turkiye
Q7745922,The Last Ottoman,P840,narrative location,Q43,turkiye
Q3714820,Dogus Balbay,P27,country of citizenship,Q43,turkiye
Q3189573,Turkish Challenge,P17,country,Q43,turkiye
Q7447439,Selahattin Sağan,P27,country of citizenship,Q43,turkiye
Q187256,zeki ayvaz,P27,country of citizenship,Q43,turkiye
Q4817106,Yapinti,P17,country,Q43,turkiye
Q5626906,"Gumusyayla, Cubuk",P17,country,Q43,turkiye
Q8075342,Zuqnin Monastery,P17,country,Q43,turkiye
Q16947725,emet mine,P17,country,Q43,turkiye
Q1155277,"kurşunlu, gölpazarı",P17,country,Q43,turkiye
Q4829938,"Cestepe, Bartin",P17,country,Q43,turkiye
Q282782,Ceza,P27,country of citizenship,Q43,turkiye
Q43,turkiye,P150,contains administrative territorial entity,Q483195,tokat (province)
Q1367772,Eskigümüş Monastery,P17,country,Q43,turkiye
Q43387,Archbishopric of Adrianopolis,P17,country,Q43,turkiye
Q1339593,Emre Turan,P27,country of citizenship,Q43,turkiye
Q2916486,Subdivisions of Turkey,P17,country,Q43,turkiye
Q6826764,"Meşeli, Şavşat",P17,country,Q43,turkiye
Q823959,"selçuk şahin (footballer, born 1983)",P27,country of citizenship,Q43,turkiye
Q22003375,Muhammet Besir,P27,country of citizenship,Q43,turkiye
Q6049160,Ahmet Yorulmaz,P27,country of citizenship,Q43,turkiye
Q382106,"açıkalın, peker",P27,country of citizenship,Q43,turkiye
Q3626505,Kadir Mısıroğlu,P27,country of citizenship,Q43,turkiye
Q1414112,Filiz Koç,P27,country of citizenship,Q43,turkiye
Q6098846,bolu (electoral district),P17,country,Q43,turkiye
Q5678101,Hasan Ahmet Sari,P27,country of citizenship,Q43,turkiye
Q1509049,liberal democrat party (turkey),P17,country,Q43,turkiye
Q6976154,çatalağzı,P17,country,Q43,turkiye
Q22003071,Ali Haydar Hakverdi,P27,country of citizenship,Q43,turkiye
Q198770,سەعید نوورسی,P27,country of citizenship,Q43,turkiye
Q4823690,"esentepe, nazilli",P17,country,Q43,turkiye
Q4825606,"Börk, Hanak",P17,country,Q43,turkiye
Q4823583,"cumalar, karpuzlu",P17,country,Q43,turkiye
Q1029159,30 agustos mahallesi,P17,country,Q43,turkiye
Q298448,gokhan inler,P27,country of citizenship,Q43,turkiye
Q3049648,Ekrem Buğra Ekinci,P27,country of citizenship,Q43,turkiye
Q1953531,murat ceylan,P27,country of citizenship,Q43,turkiye
Q5397654,esetçe,P17,country,Q43,turkiye
Q8003458,"ömerler, polatlı",P17,country,Q43,turkiye
Q453996,veysel cihan,P27,country of citizenship,Q43,turkiye
Q20988530,Time in Turkey,P17,country,Q43,turkiye
Q2043178,oguzhan azgar,P27,country of citizenship,Q43,turkiye
Q4831933,"orenkoy, camlidere",P17,country,Q43,turkiye
Q5875314,"Hocaköy, Akseki",P17,country,Q43,turkiye
Q4824938,"örentaht, bozdoğan",P17,country,Q43,turkiye
Q6633220,"karapinar, zonguldak",P17,country,Q43,turkiye
Q2661398,kayseri arena,P17,country,Q43,turkiye
Q6095635,Tevfik Ileri,P27,country of citizenship,Q43,turkiye
Q6580455,Sadeyaka,P17,country,Q43,turkiye
Q1581190,mihrimah sultan mosque,P17,country,Q43,turkiye
Q1891197,"Yukarıkarakuyu, Gölbaşı",P17,country,Q43,turkiye
Q20059891,Mehmet Abbasoglu,P27,country of citizenship,Q43,turkiye
Q502274,esin afşar,P27,country of citizenship,Q43,turkiye
Q7666739,Sulumenli,P17,country,Q43,turkiye
Q4824633,"kurukoy, cine",P17,country,Q43,turkiye
Q20949848,departures (2011 film),P495,country of origin,Q43,turkiye
Q153410,Adim Adim Initiative,P17,country,Q43,turkiye
Q6582991,oktay vural,P27,country of citizenship,Q43,turkiye
Q3233869,yakinca,P17,country,Q43,turkiye
Q818674,Turkish appetizer,P495,country of origin,Q43,turkiye
Q6026726,Ziverbey Villa,P17,country,Q43,turkiye
Q4833378,"Okcular, Cubuk",P17,country,Q43,turkiye
Q18222429,ahmet kibil,P27,country of citizenship,Q43,turkiye
Q1890045,"aksu, celikhan",P17,country,Q43,turkiye
Q7442806,Bishop Sebouh Chouldjian,P27,country of citizenship,Q43,turkiye
Q962106,Hümeyra,P27,country of citizenship,Q43,turkiye
Q4531649,ahmet emin yalman,P27,country of citizenship,Q43,turkiye
Q424750,Akin Vardar,P27,country of citizenship,Q43,turkiye
Q5255409,demirköprü (bridge),P17,country,Q43,turkiye
Q6057220,Sabuncubeli Tunnel,P17,country,Q43,turkiye
Q5005278,Bülent Ecevit University,P17,country,Q43,turkiye
Q4683069,Mukerrem Hic,P27,country of citizenship,Q43,turkiye
Q551622,atilla yıldırım,P27,country of citizenship,Q43,turkiye
Q810122,St. Anthony of Padua Cathedral (Istanbul),P17,country,Q43,turkiye
Q4832394,sevince,P495,country of origin,Q43,turkiye
Q1359712,2004-05 türkiye kupası,P17,country,Q43,turkiye
Q6069378,mkek mpt,P495,country of origin,Q43,turkiye
Q3376684,sezer huysuz,P27,country of citizenship,Q43,turkiye
Q6981621,yedigoeller national park,P17,country,Q43,turkiye
Q6366806,"Kaplan, Beypazari",P17,country,Q43,turkiye
Q7406303,"salur, manavgat",P17,country,Q43,turkiye
Q937499,Malkara,P17,country,Q43,turkiye
Q16063178,Naile sultan,P27,country of citizenship,Q43,turkiye
Q4700537,"akdere, nallıhan",P17,country,Q43,turkiye
Q5389646,Erkan Veyseloğlu,P27,country of citizenship,Q43,turkiye
Q6103376,Igdir University,P17,country,Q43,turkiye
Q18211422,tilbe senyurek,P27,country of citizenship,Q43,turkiye
Q6098821,Other Angels,P840,narrative location,Q43,turkiye
Q7162414,pendik naval shipyard,P17,country,Q43,turkiye
Q16842542,kdz. ereğlispor,P17,country,Q43,turkiye
Q16850252,ENKA Open,P17,country,Q43,turkiye
Q8038623,wrong rosary,P495,country of origin,Q43,turkiye
Q2182686,ozgur dengiz,P27,country of citizenship,Q43,turkiye
Q8077813,Çukurova motorway,P17,country,Q43,turkiye
Q317678,Abdullah Karmil,P27,country of citizenship,Q43,turkiye
Q719346,Hasan Kabze,P27,country of citizenship,Q43,turkiye
Q8080075,i̇kiztepe oil field,P17,country,Q43,turkiye
Q6056559,yaşar topçu,P27,country of citizenship,Q43,turkiye
Q1518594,1992-93 1.lig,P17,country,Q43,turkiye
Q2072554,kelime cetinkaya,P27,country of citizenship,Q43,turkiye
Q5262518,"Dereli, Beypazarı",P17,country,Q43,turkiye
Q6608498,"Koruköy, Kastamonu",P17,country,Q43,turkiye
Q4701875,"aktas, sereflikochisar",P17,country,Q43,turkiye
Q10789902,"Mahmutağa, Tarsus",P17,country,Q43,turkiye
Q3603751,ionopolis,P17,country,Q43,turkiye
Q2459752,Tunay Açar,P27,country of citizenship,Q43,turkiye
Q8002348,"çandır, serik",P17,country,Q43,turkiye
Q6044495,intepe,P17,country,Q43,turkiye
Q7729476,The Deathless Devil,P840,narrative location,Q43,turkiye
Q27907172,Lena Erdil,P27,country of citizenship,Q43,turkiye
Q6057121,NTV Tarih,P495,country of origin,Q43,turkiye
Q4829635,"Karaçavuş, Amasya",P17,country,Q43,turkiye
Q6001729,"ilıca, şavşat",P17,country,Q43,turkiye
Q4827820,"seyfe, suluova",P17,country,Q43,turkiye
Q4828336,"çağlıyan, yusufeli",P17,country,Q43,turkiye
Q8061164,"yumurca, sandıklı",P17,country,Q43,turkiye
Q4117865,egypt-turkey relations,P17,country,Q43,turkiye
Q4828796,"Celtikduzu, Yusufeli",P17,country,Q43,turkiye
Q4998094,burak gürpınar,P27,country of citizenship,Q43,turkiye
Q4821303,"Büyükmangıt, Ceyhan",P17,country,Q43,turkiye
Q272810,Çetin İnanç,P27,country of citizenship,Q43,turkiye
Q7116454,ozan guven,P27,country of citizenship,Q43,turkiye
Q7105189,"Oruc, Vezirkopru",P17,country,Q43,turkiye
Q1307983,"Kaklık, Honaz",P17,country,Q43,turkiye
Q6824948,metropolitan of chalcedon,P17,country,Q43,turkiye
Q3624093,i̇pek özkök,P27,country of citizenship,Q43,turkiye
Q5389872,Erman Güraçar,P27,country of citizenship,Q43,turkiye
Q17512831,New Eskisehir Stadium,P17,country,Q43,turkiye
Q5429303,"Fadil, Cukurova",P17,country,Q43,turkiye
Q5627107,"gunyazi, ceyhan",P17,country,Q43,turkiye
Q7424885,"Sarıağıl, Beypazarı",P17,country,Q43,turkiye
Q7237013,poyracık,P17,country,Q43,turkiye
Q1888916,"Aşağıçöplü, Besni",P17,country,Q43,turkiye
Q6096564,"bahçeköy, sarıyer",P17,country,Q43,turkiye
Q710110,mehmet oktav,P27,country of citizenship,Q43,turkiye
Q1396443,"asmaca, gerede",P17,country,Q43,turkiye
Q1722363,kalkan,P17,country,Q43,turkiye
Q390401,ali akdemir,P27,country of citizenship,Q43,turkiye
Q7855349,Turkish football clubs in European competitions 1990-99,P17,country,Q43,turkiye
Q8002069,"kadılar, manavgat",P17,country,Q43,turkiye
Q1897419,Cumalikizik,P17,country,Q43,turkiye
Q4821523,aşıkşenlik,P17,country,Q43,turkiye
Q426881,mustafa sarp,P27,country of citizenship,Q43,turkiye
Q4834182,altınkum,P17,country,Q43,turkiye
Q19958161,Erman Ilıcak,P27,country of citizenship,Q43,turkiye
Q20988350,esertepe park,P17,country,Q43,turkiye
Q703480,Letoon,P17,country,Q43,turkiye
Q7521794,Sinap Castle,P17,country,Q43,turkiye
Q16158254,jazz in turkey (documentary),P495,country of origin,Q43,turkiye
Q799805,bafra,P17,country,Q43,turkiye
Q401989,Ahmet Ozhan,P27,country of citizenship,Q43,turkiye
Q1890448,"belören, gölbaşı",P17,country,Q43,turkiye
Q16620988,ömer elmas,P27,country of citizenship,Q43,turkiye
Q1090460,alaçatı dam,P17,country,Q43,turkiye
Q7427970,savaş dinçel,P27,country of citizenship,Q43,turkiye
Q28358439,Yaşar Nezihe,P27,country of citizenship,Q43,turkiye
Q7449822,semra dundar,P27,country of citizenship,Q43,turkiye
Q4820031,"i̇salı, şuhut",P17,country,Q43,turkiye
Q6368897,"Karayusuflu, Yuregir",P17,country,Q43,turkiye
Q510679,köprülü fazıl ahmed pasha,P27,country of citizenship,Q43,turkiye
Q1354966,Erkam Reşmen,P27,country of citizenship,Q43,turkiye
Q4153304,Neslihan Gokdemir,P27,country of citizenship,Q43,turkiye
Q6441433,"sirinkoy, zonguldak",P17,country,Q43,turkiye
Q90862,Haydar Zorlu,P27,country of citizenship,Q43,turkiye
Q6020428,1933 in turkey,P1269,facet of,Q43,turkiye
Q7429416,"sazlı, söke",P17,country,Q43,turkiye
Q179248,history of the albanians,P17,country,Q43,turkiye
Q6660536,"huseyincavusoglu, devrek",P17,country,Q43,turkiye
Q6386829,Nejad Kemal Kavur,P27,country of citizenship,Q43,turkiye
Q5005329,"Büyükkösebalcı, Mersin",P17,country,Q43,turkiye
Q1432103,muş airport,P17,country,Q43,turkiye
Q5678310,Hasan Yigit,P27,country of citizenship,Q43,turkiye
Q16956157,Şelale,P840,narrative location,Q43,turkiye
Q1156433,"Kapakli, Bilecik",P17,country,Q43,turkiye
Q6009594,Kanlıca Cemetery,P17,country,Q43,turkiye
Q16901242,taşkale,P17,country,Q43,turkiye
Q1984073,Nesat Gülünoğlu,P27,country of citizenship,Q43,turkiye
Q982399,"Kumluca, Hasankeyf",P17,country,Q43,turkiye
Q6368134,"karakollar, çine",P17,country,Q43,turkiye
Q420151,akköprü dam,P17,country,Q43,turkiye
Q17351940,ayas (film),P495,country of origin,Q43,turkiye
Q7104206,"ortageçit, ardahan",P17,country,Q43,turkiye
Q6379032,"Kavakolugu, Gulnar",P17,country,Q43,turkiye
Q426736,galatasaray s.k. season 2008–09,P17,country,Q43,turkiye
Q8060587,"Yukarıkese, Kızılcahamam",P17,country,Q43,turkiye
Q6418288,"kitreli, çiftlik",P17,country,Q43,turkiye
Q17508384,respect to mehmetçik monument,P17,country,Q43,turkiye
Q27893581,Nazlıcan İnci,P27,country of citizenship,Q43,turkiye
Q3666993,Zara (Turkish singer),P27,country of citizenship,Q43,turkiye
Q1894335,Mario levi,P27,country of citizenship,Q43,turkiye
Q4946150,Bornova Anatolian High School,P17,country,Q43,turkiye
Q720344,Ugur Yücel,P27,country of citizenship,Q43,turkiye
Q19771,Current G20 Countries,P527,has part,Q43,turkiye
Q598946,caygoren dam,P17,country,Q43,turkiye
Q7862447,turkish economy bank,P17,country,Q43,turkiye
Q23817662,murat çetinkaya,P27,country of citizenship,Q43,turkiye
Q43,turkiye,P150,contains administrative territorial entity,Q45220,Afyon Province
Q4702059,"Akçadere, Hocalar",P17,country,Q43,turkiye
Q753135,atacan ozturk,P27,country of citizenship,Q43,turkiye
Q4825227,"suleymanhuyugu, gulagac",P17,country,Q43,turkiye
Q7857311,Tuğçe İnöntepe,P27,country of citizenship,Q43,turkiye
Q7447604,"Seldiren, Hatay",P17,country,Q43,turkiye
Q785156,Birlik Partisi,P17,country,Q43,turkiye
Q21854932,Payam Feili,P551,residence,Q43,turkiye
Q4710269,Bengi Yıldız,P27,country of citizenship,Q43,turkiye
Q155654,International Strategic Assistance Force,P710,participant,Q43,turkiye
Q669752,terme,P17,country,Q43,turkiye
Q131495,Sirnex,P17,country,Q43,turkiye
Q525083,seda sayan,P27,country of citizenship,Q43,turkiye
Q4598685,2001 Fed Cup Europe/Africa Zone,P17,country,Q43,turkiye
Q1779332,Nysa (Caria),P17,country,Q43,turkiye
Q5005582,"bıçakçılar, yusufeli",P17,country,Q43,turkiye
Q16951632,Mersin Grand Mosque,P17,country,Q43,turkiye
Q5248985,"December 2007 Seferihisar, Turkey migrant boat disaster",P17,country,Q43,turkiye
Q7750585,the master (2009 film),P495,country of origin,Q43,turkiye
Q4826459,"mallıca, bayat",P17,country,Q43,turkiye
Q18393109,Sunay Erdem,P27,country of citizenship,Q43,turkiye
Q1397274,"Sofular, Gerede",P17,country,Q43,turkiye
Q4780383,Apollonia (Mysia),P17,country,Q43,turkiye
Q2511960,"basyellice, mengen",P17,country,Q43,turkiye
Q1368819,Kuersad Tuezmen,P27,country of citizenship,Q43,turkiye
Q21707860,The Paris Agreement,P1891,signatory,Q43,turkiye
Q1090638,Gezende Dam,P17,country,Q43,turkiye
Q174961,Şevval Sam,P27,country of citizenship,Q43,turkiye
Q1559987,"Göztepe, Istanbul",P17,country,Q43,turkiye
Q982352,"Yolustu, Hasankeyf",P17,country,Q43,turkiye
Q259673,"Yenikoy, Saimbeyli",P17,country,Q43,turkiye
Q1888504,"Akcali, Adiyaman",P17,country,Q43,turkiye
Q7005353,new antalya stadium,P17,country,Q43,turkiye
Q18589307,Esra Solmaz,P27,country of citizenship,Q43,turkiye
Q7695381,"tekkekoy, elmadag",P17,country,Q43,turkiye
Q4825253,"gollu, agacoren",P17,country,Q43,turkiye
Q1317547,TIHA,P17,country,Q43,turkiye
Q996300,bridges of edirne,P17,country,Q43,turkiye
Q18712832,canım sana feda,P495,country of origin,Q43,turkiye
Q748696,Levantine Basin,P205,basin country,Q43,turkiye
Q4565017,1941–42 Istanbul Football League,P17,country,Q43,turkiye
Q700319,taner ari,P27,country of citizenship,Q43,turkiye
Q557607,"akyurt, ankara",P17,country,Q43,turkiye
Q6634377,List of populated places in Edirne Province,P17,country,Q43,turkiye
Q7814303,"tolköy, bala",P17,country,Q43,turkiye
Q19610568,Asaf Beşpınar,P27,country of citizenship,Q43,turkiye
Q19610409,The Tombstones of Ahlat the Urartian and Ottoman citadel,P17,country,Q43,turkiye
Q4828452,"Güneşli, Hopa",P17,country,Q43,turkiye
Q17515431,Lake Kuyucuk,P17,country,Q43,turkiye
Q7809174,Tire railway station,P17,country,Q43,turkiye
Q205887,Battle of carrhae,P17,country,Q43,turkiye
Q6047937,nagehan aksan,P27,country of citizenship,Q43,turkiye
Q6038291,Melike Bakırcıoğlu,P27,country of citizenship,Q43,turkiye
Q1004653,Pazarcik,P17,country,Q43,turkiye
Q272693,"Cavuslu, Karatas",P17,country,Q43,turkiye
Q3338531,comedy max,P17,country,Q43,turkiye
Q3067724,Yahşi Cazibe,P495,country of origin,Q43,turkiye
Q1538428,1981-82 1.lig,P17,country,Q43,turkiye
Q4825301,"Yigitkonagi, Gole",P17,country,Q43,turkiye
Q23058914,muhammed çalhanoğlu,P27,country of citizenship,Q43,turkiye
Q2420809,diemo,P20,place of death,Q43,turkiye
Q4725648,"alibeyli, tarsus",P17,country,Q43,turkiye
Q1348747,Erdal Inonu,P27,country of citizenship,Q43,turkiye
Q5313909,"dumlupınar, çubuk",P17,country,Q43,turkiye
Q2744219,"Kabatas, Ordu",P17,country,Q43,turkiye
Q4832082,"Eşmedere, Kalecik",P17,country,Q43,turkiye
Q932886,kadikoy,P17,country,Q43,turkiye
Q1398228,"Bahçedere, Gerede",P17,country,Q43,turkiye
Q1193429,Büyü,P840,narrative location,Q43,turkiye
Q3404635,nihat ergun,P27,country of citizenship,Q43,turkiye
Q1953977,musa nizam,P27,country of citizenship,Q43,turkiye
Q4823749,Karadeniz Technical University,P17,country,Q43,turkiye
Q326828,Sabahattin Eyueboglu,P27,country of citizenship,Q43,turkiye
Q4829680,"ustaoğlu, bartın",P17,country,Q43,turkiye
Q7418796,Sanlıca,P17,country,Q43,turkiye
Q6100694,Okan University,P17,country,Q43,turkiye
Q6961396,9 (2002 film),P495,country of origin,Q43,turkiye
Q5031663,Candeğer Kılınçer,P27,country of citizenship,Q43,turkiye
Q6034537,56th cabinet of turkey,P17,country,Q43,turkiye
Q27186771,osman çelik,P27,country of citizenship,Q43,turkiye
Q4198699,İzmit Körfezi,P17,country,Q43,turkiye
Q6099080,adiyaman (electoral district),P17,country,Q43,turkiye
Q6672113,Hamza aktan,P27,country of citizenship,Q43,turkiye
Q6051060,i̇nci aral,P27,country of citizenship,Q43,turkiye
Q17501733,bayraktar tactical uas,P495,country of origin,Q43,turkiye
Q2949436,bilsat-1,P17,country,Q43,turkiye
Q179751,aras (river),P17,country,Q43,turkiye
Q5636593,hababam sınıfi tatilde,P840,narrative location,Q43,turkiye
Q43,turkiye,P150,contains administrative territorial entity,Q43924,adıyaman i̇li province
Q224488,Namik Tan,P27,country of citizenship,Q43,turkiye
Q5065769,Ceyhun Tendar,P27,country of citizenship,Q43,turkiye
Q7772984,Voice (2010 film),P840,narrative location,Q43,turkiye
Q11967095,elif jale yesilirmak,P27,country of citizenship,Q43,turkiye
Q19903045,141 Lycia earthquake,P17,country,Q43,turkiye
Q272995,Cirali,P17,country,Q43,turkiye
Q77682,lale akgun,P27,country of citizenship,Q43,turkiye
Q7283949,rail stations in turkey,P17,country,Q43,turkiye
Q22957892,demet mutlu,P27,country of citizenship,Q43,turkiye
Q263102,recai kutan,P27,country of citizenship,Q43,turkiye
Q7156970,Pazaryolu Dam,P17,country,Q43,turkiye
Q6511445,rojen barnas,P27,country of citizenship,Q43,turkiye
Q19957725,selçuk ernak,P27,country of citizenship,Q43,turkiye
Q477171,kozluk,P17,country,Q43,turkiye
Q6075578,"kizilcakoy, aydin",P17,country,Q43,turkiye
Q16145548,kâmil altan,P27,country of citizenship,Q43,turkiye
Q791572,aphousia,P17,country,Q43,turkiye
Q6099913,Görkem Yeltan,P27,country of citizenship,Q43,turkiye
Q17272643,syrian civil war spillover,P276,location,Q43,turkiye
Q4824096,"Bingeç, Karacasu",P17,country,Q43,turkiye
Q282654,Ineboli,P17,country,Q43,turkiye
Q7074550,"Obaalacami, Alanya",P17,country,Q43,turkiye
Q5372601,Emirhan Ergün,P27,country of citizenship,Q43,turkiye
Q535720,bishopric of ibora,P17,country,Q43,turkiye
Q4825785,"eskikilic, damal",P17,country,Q43,turkiye
